1	-123	322
2	-123	322
1	-122	322
2	-122	322
1	-121	322
2	-121	322
1	-120	322
2	-120	322
1	-119	322
2	-119	322
1	-118	323
2	-118	322
1	-117	323
2	-117	322
1	-116	323
2	-116	322
1	-115	323
2	-115	322
1	-114	323
2	-114	322
1	-113	323
2	-113	323
1	-112	323
2	-112	323
1	-111	323
2	-111	323
1	-110	323
2	-110	323
1	-109	323
2	-109	323
1	-108	323
2	-108	323
1	-107	323
2	-107	323
1	-106	323
2	-106	323
1	-105	323
2	-105	323
1	-104	323
2	-104	323
1	-103	323
2	-103	323
1	-102	323
2	-102	323
1	-101	323
2	-101	323
1	-100	323
2	-100	323
1	-99	323
2	-99	323
1	-98	323
2	-98	323
1	-97	323
2	-97	323
1	-96	323
2	-96	323
1	-95	323
2	-95	323
1	-94	323
2	-94	323
1	-93	323
2	-93	323
1	-92	323
2	-92	323
1	-91	323
2	-91	323
1	-90	323
2	-90	323
1	-89	324
2	-89	323
1	-88	324
2	-88	323
1	-87	324
2	-87	323
1	-86	324
2	-86	323
1	-85	324
2	-85	323
1	-84	324
2	-84	324
1	-83	324
2	-83	324
1	-82	324
2	-82	324
1	-81	324
2	-81	324
1	-80	324
2	-80	324
1	-79	324
2	-79	324
1	-78	324
2	-78	324
1	-77	324
2	-77	324
1	-76	324
2	-76	324
1	-75	324
2	-75	324
1	-74	324
2	-74	324
1	-73	324
2	-73	324
1	-72	324
2	-72	324
1	-71	324
2	-71	324
1	-70	324
2	-70	324
1	-69	324
2	-69	324
1	-68	324
2	-68	324
1	-67	324
2	-67	324
1	-66	324
2	-66	324
1	-65	324
2	-65	324
1	-64	324
2	-64	324
1	-63	324
2	-63	324
1	-62	324
2	-62	324
1	-61	324
2	-61	324
1	-60	324
2	-60	324
1	-59	29
2	-59	324
1	-58	29
2	-58	324
1	-57	29
2	-57	324
1	-56	29
2	-56	324
1	-55	29
2	-55	324
1	-54	29
2	-54	29
1	-53	29
2	-53	29
1	-52	29
2	-52	29
1	-51	29
2	-51	29
1	-50	29
2	-50	29
1	-49	29
2	-49	29
1	-48	42
2	-48	29
1	-47	42
2	-47	29
1	-46	42
2	-46	29
1	-45	42
2	-45	29
1	-44	42
2	-44	29
1	-43	42
2	-43	29
1	-42	42
2	-42	29
