1	14	14	17
1	14	14	18
1	14	14	19
1	14	14	20
1	14	14	21
1	14	14	22
1	14	14	23
1	14	14	24
1	14	14	25
1	14	14	26
1	14	14	27
1	14	14	28
1	14	14	29
1	14	14	30
1	14	14	31
1	14	14	32
1	14	14	33
1	14	14	34
1	14	14	35
1	14	14	36
1	14	14	37
1	14	14	38
1	14	14	79
1	14	14	80
1	14	14	81
1	14	14	82
1	14	14	83
1	14	14	84
1	14	14	85
1	14	14	86
1	14	14	87
1	14	14	88
1	14	14	89
1	14	14	90
1	14	14	91
1	14	14	92
1	16	14	78
1	17	14	16
2	14	14	12
2	14	14	13
2	14	14	14
2	14	14	15
2	14	14	16
2	14	14	17
2	14	14	18
2	14	14	19
2	14	14	20
2	14	14	21
2	14	14	22
2	14	14	23
2	14	14	24
2	14	14	25
2	14	14	26
2	14	14	27
2	14	14	28
2	14	14	29
2	14	14	30
2	14	14	31
2	14	14	32
2	14	14	33
2	14	14	34
2	14	14	35
2	14	14	36
2	14	14	37
2	14	14	38
2	14	14	39
2	14	14	40
2	14	14	41
2	14	14	42
2	14	14	43
2	14	14	44
2	14	14	45
2	14	14	46
2	14	14	47
2	14	14	48
2	14	14	49
2	14	14	50
2	14	14	51
2	14	14	52
2	14	14	53
2	14	14	54
2	14	14	55
2	14	14	56
2	14	14	57
2	14	14	58
2	14	14	59
2	14	14	60
2	14	14	61
2	14	14	62
2	14	14	63
2	14	14	64
2	14	14	65
2	14	14	66
2	14	14	67
2	14	14	68
2	14	14	69
2	14	14	70
2	14	14	71
2	14	14	72
2	14	14	73
2	14	14	74
2	14	14	75
2	14	14	76
2	14	14	77
2	14	14	78
2	14	14	79
2	14	14	80
2	14	14	81
2	14	14	82
2	14	14	83
2	14	14	84
2	14	14	85
2	14	14	86
2	14	14	87
2	14	14	88
2	14	14	89
2	14	14	90
2	14	14	91
2	14	14	92
2	14	14	93
2	14	14	94
2	14	14	95
2	14	14	96
2	14	14	97
2	14	14	98
2	17	14	11
1	14	15	50
1	15	15	-38
1	15	15	-37
1	15	15	-36
1	15	15	-35
1	15	15	51
1	15	15	52
1	15	15	53
1	15	15	54
1	15	15	55
1	15	15	56
1	15	15	57
1	15	15	58
1	15	15	59
1	42	15	-39
2	15	15	-32
2	15	15	-31
2	15	15	-30
2	15	15	-29
2	15	15	-28
2	15	15	-27
2	15	15	-26
2	15	15	-25
2	15	15	-24
2	42	15	-33
1	15	16	-34
1	15	16	60
1	16	16	-33
1	16	16	-32
1	16	16	-31
1	16	16	-30
1	16	16	-29
1	16	16	-28
1	16	16	-27
1	16	16	-26
1	16	16	-25
1	16	16	-24
1	16	16	61
1	16	16	62
1	16	16	63
1	16	16	64
1	16	16	65
1	16	16	66
1	16	16	67
1	16	16	68
1	16	16	69
1	16	16	70
1	16	16	71
1	16	16	72
1	16	16	73
1	16	16	74
1	16	16	75
1	16	16	76
1	16	16	77
2	15	16	-23
2	16	16	-22
2	16	16	-21
2	16	16	-20
2	16	16	-19
2	16	16	-18
2	16	16	-17
2	16	16	-16
2	16	16	-15
2	16	16	-14
2	16	16	-13
2	16	16	-12
2	16	16	-11
2	16	16	-10
2	16	16	-9
2	16	16	-8
2	16	16	-7
2	16	16	-6
2	16	16	-5
2	16	16	-4
2	16	16	-3
2	16	16	-2
2	16	16	-1
2	16	16	0
1	16	17	-23
1	17	17	-22
1	17	17	-21
1	17	17	-20
1	17	17	-19
1	17	17	-18
1	17	17	-17
1	17	17	-16
1	17	17	-15
1	17	17	-14
1	17	17	-13
1	17	17	-12
1	17	17	-11
1	17	17	-10
1	17	17	-9
1	17	17	-8
1	17	17	-7
1	17	17	-6
